model,rmse,mae,r2,cv_score
Linear Regression,1.796185834000049,1.2486286163330078,0.363433837890625,0.363433837890625
Random Forest,0.9280805268287944,0.5724848107070528,0.8300534795880927,0.8300534795880927
Neural Network,1.549907755414163,0.8958266377449036,0.526028037071228,0.526028037071228
